vid,sid,fid,score_baseline,score_hoi,score_mae,score_full,gap_full_baseline,middle_margin,gt_non_outlier_groups,gt_non_outlier_actors,gt_largest_group_ratio,baseline_pair_mismatch_count,full_pair_mismatch_count,baseline_outlier_flip_count,full_outlier_flip_count
6,500,30,0.13333333333333333,0.30000000000000004,0.30000000000000004,1.0,0.8666666666666667,0.1666666666666667,2,8,0.5,15,0,1,0
8,310,0,0.15000000000000002,0.5,0.5,0.6833333333333333,0.5333333333333333,0.35,2,7,0.5714285714285714,12,0,1,1
5,144,150,0.33333333333333337,0.4,0.4,0.6666666666666666,0.33333333333333326,0.06666666666666665,2,8,0.5,7,0,0,1
